Номер,Утверждение A,Утверждение B,Константы,Тип,Примечание,Полюс_+,Полюс_−
1,Я замечаю просьбы о помощи даже между делом.,"Я предпочитаю не вмешиваться, если меня прямо не просят.",C1,Основная,универсальные; маскировка высокая,Эгоизм,Альтруизм
2,Мне легче делегировать время в пользу других.,Мне легче защитить своё время от чужих задач.,C1,Основная,универсальные; маскировка высокая,Эгоизм,Альтруизм
3,"Если у соседа сломалась вещь, я предложу помощь без долгих раздумий.","Считаю корректным, когда каждый решает свои бытовые проблемы сам.",C1,Основная,универсальные; маскировка высокая,Эгоизм,Альтруизм
4,В групповых задачах я охотно беру «незаметные» роли ради общего результата.,"В групповых задачах я выбираю вклад, который заметен и связан с моими интересами.",C1,Основная,универсальные; маскировка высокая,Эгоизм,Альтруизм
5,"Мне естественно делиться ресурсами, даже если это немного неудобно.",Предпочитаю использовать ресурсы рационально и прежде всего для своих целей.,C1,Основная,универсальные; маскировка высокая,Эгоизм,Альтруизм
6,"Если кто-то задерживается, я останусь и подстрахую.","Если кто-то задерживается, я завершу своё и уйду по плану.",C1,Основная,универсальные; маскировка высокая,Эгоизм,Альтруизм
7,Я легко соглашаюсь на помощь незнакомцу в мелочи.,"С незнакомцами стараюсь держать дистанцию, чтобы не втягиваться.",C1,Основная,универсальные; маскировка высокая,Эгоизм,Альтруизм
8,"Когда у человека трудный период, я подстраиваю свои планы, чтобы поддержать.",Я сохраняю свои планы и предлагаю поддержку в пределах удобного.,C1,Основная,универсальные; маскировка высокая,Эгоизм,Альтруизм
9,"Мне проще уступить в мелочах, чем спорить за своё.",Мне проще спокойно отстаивать своё даже в мелочах.,C1,Основная,универсальные; маскировка высокая,Эгоизм,Альтруизм
10,"Если у меня есть лишнее, я охотно делюсь.",Лишнее — это запас на будущее; делюсь редко и точечно.,C1,Основная,универсальные; маскировка высокая,Эгоизм,Альтруизм
81,В делах других я скорее не вмешиваюсь без приглашения.,"Если у кого-то завал, предложу помощь сам.",C1,Зеркальная,для оценки ψ (устойчивость),Эгоизм,Альтруизм
11,Перед решением я собираю факты и проверяю предположения.,"Если чувствую правильность выбора, действую без долгих проверок.",C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
12,Я составляю критерии и сравниваю варианты по ним.,"Слушаю внутренний отклик и иду туда, где «зажигает».",C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
13,Споры предпочитаю переводить в плоскость данных.,Споры предпочитаю переводить в плоскость личного опыта и впечатлений.,C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
14,"Когда устал, откладываю решения до ясной головы.","Когда устал, опираюсь на интуицию и двигаюсь дальше.",C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
15,"Я фиксирую, какие риски есть, и чем их покрыть.","Если настроение высокое, не хочу тормозить себя рисками.",C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
16,Предпочитаю холодный расчёт даже в острых ситуациях.,В острых ситуациях следую ощущению момента.,C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
17,Перед крупной покупкой делаю таблицу плюсов и минусов.,Перед крупной покупкой прислушиваюсь к эмоциям: нравится — беру.,C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
